Zip_Code,City,State,Population,Density,White,Black,Native_American,Asian,Hawaiian_Pacific_Islander,Other,Latino,Mixed_Race
00601,Adjuntas,Puerto Rico,17599,111.4,0,0,0,0,0,0,100,0
00602,Aguada,Puerto Rico,39209,523.5,4,0,0,0,0,0,92,4
00603,Aguadilla,Puerto Rico,50135,667.9,1,0,0,0,0,0,97,1
00606,Maricao,Puerto Rico,6304,60.4,0,0,0,0,0,0,100,0
00610,Anasco,Puerto Rico,27590,312.0,2,0,0,0,0,0,97,1
00612,Arecibo,Puerto Rico,62566,382.8,0,0,0,0,0,0,100,0
00616,Bajadero,Puerto Rico,10687,368.9,0,0,0,0,0,0,100,0
00617,Barceloneta,Puerto Rico,24508,625.0,0,0,0,0,0,0,100,0
00622,Boqueron,Puerto Rico,7405,104.6,1,0,0,0,0,0,99,0
00623,Cabo Rojo,Puerto Rico,42321,437.8,0,0,0,0,0,0,100,0
00624,Penuelas,Puerto Rico,23238,234.7,0,0,0,0,0,0,100,0
00627,Camuy,Puerto Rico,32936,292.8,1,0,0,0,0,0,99,0
00631,Castaner,Puerto Rico,1555,177.8,1,0,0,0,0,0,99,0
00637,Sabana Grande,Puerto Rico,23610,283.4,0,0,0,0,0,0,100,0
00638,Ciales,Puerto Rico,17202,110.7,1,0,0,0,0,0,99,0
00641,Utuado,Puerto Rico,28332,128.8,0,0,0,0,0,0,99,0
00646,Dorado,Puerto Rico,38008,711.6,1,0,0,0,0,0,99,0
00647,Ensenada,Puerto Rico,5610,156.7,0,0,0,0,0,0,100,0
00650,Florida,Puerto Rico,14664,189.7,1,0,0,0,0,0,99,0
00652,Garrochales,Puerto Rico,3681,263.2,0,0,0,0,0,0,100,0
00653,Guanica,Puerto Rico,11717,337.1,1,0,0,0,0,0,99,0
00656,Guayanilla,Puerto Rico,19546,255.9,0,0,0,0,0,0,100,0
00659,Hatillo,Puerto Rico,40978,387.7,0,0,0,0,0,0,100,0
00660,Hormigueros,Puerto Rico,16474,587.0,0,0,0,0,0,0,100,0
00662,Isabela,Puerto Rico,41341,376.6,1,0,0,0,0,0,98,0
00664,Jayuya,Puerto Rico,15396,142.4,0,0,0,0,0,0,100,0
00667,Lajas,Puerto Rico,24089,166.2,0,0,0,0,0,0,100,0
00669,Lares,Puerto Rico,26510,186.6,0,0,0,0,0,0,99,0
00670,Las Marias,Puerto Rico,8797,83.1,1,0,0,0,0,0,99,0
00674,Manati,Puerto Rico,40826,381.8,1,0,0,0,0,0,98,0
00676,Moca,Puerto Rico,37862,308.6,0,0,0,0,0,0,99,0
00677,Rincon,Puerto Rico,14569,411.2,6,0,0,0,0,0,88,6
00678,Quebradillas,Puerto Rico,26642,407.5,1,0,0,0,0,0,99,0
00680,Mayaguez,Puerto Rico,48035,349.6,0,0,0,0,0,0,100,0
00682,Mayaguez,Puerto Rico,32820,874.3,1,0,0,0,0,0,99,0
00683,San German,Puerto Rico,31627,249.9,0,0,0,0,0,0,99,0
00685,San Sebastian,Puerto Rico,38849,213.3,1,0,0,0,0,0,99,0
00687,Morovis,Puerto Rico,31785,323.9,0,0,0,0,0,0,100,0
00688,Sabana Hoyos,Puerto Rico,12360,164.3,1,0,0,0,0,0,99,0
00690,San Antonio,Puerto Rico,5587,857.7,1,0,0,0,0,0,93,6
00692,Vega Alta,Puerto Rico,36218,541.2,1,0,0,0,0,0,98,0
00693,Vega Baja,Puerto Rico,56327,599.3,3,0,0,0,0,0,97,0
00694,Vega Baja,Puerto Rico,88,158.4,0,0,0,0,0,0,100,0
00698,Yauco,Puerto Rico,37493,231.7,0,0,0,0,0,0,100,0
00703,Aguas Buenas,Puerto Rico,27137,372.2,1,0,0,0,0,0,99,0
00704,Aguirre,Puerto Rico,7842,678.9,0,0,0,0,0,0,98,2
00705,Aibonito,Puerto Rico,23831,309.3,0,0,0,0,0,0,99,0
00707,Maunabo,Puerto Rico,11240,224.1,1,0,0,0,0,0,99,0
00714,Arroyo,Puerto Rico,18363,516.8,0,0,0,0,0,0,100,0
00715,Mercedita,Puerto Rico,3645,179.4,0,1,0,0,0,0,99,0
00716,Ponce,Puerto Rico,29191,1523.3,1,0,0,0,0,0,99,0
