Zip_Code,Population,White,Black,Native_American,Asian,Hawaiian_Pacific_Islander,Other,Latino,Mixed_Race
601,17599,59,0,7,0,0,0,17533,0
602,39209,1603,23,0,0,0,15,36736,1664
603,50135,508,161,0,167,10,155,48865,538
606,6304,12,0,0,0,0,0,6292,0
610,27590,570,15,0,0,1,31,26850,246
612,62566,229,10,12,0,0,0,62292,46
616,10687,45,0,0,0,0,0,10642,0
617,24508,28,0,0,12,0,0,24454,28
622,7405,62,0,0,0,0,0,7343,0
623,42321,60,0,0,0,0,0,42261,0
624,23238,30,0,0,0,0,0,23180,56
627,32936,258,17,0,0,0,0,32661,0
631,1555,8,0,0,0,0,0,1547,0
637,23610,52,0,0,0,0,0,23558,0
638,17202,90,0,0,0,0,0,17112,0
641,28332,115,27,0,0,0,0,28190,0
646,38008,479,0,0,34,0,0,37495,0
647,5610,0,0,0,0,0,0,5610,0
650,14664,143,0,0,0,0,0,14521,0
652,3681,0,0,0,0,0,0,3681,0
653,11717,88,0,0,0,0,0,11629,0
656,19546,70,0,0,14,0,9,19453,0
659,40978,71,0,0,0,0,0,40907,0
660,16474,43,18,0,0,0,0,16413,0
662,41341,402,102,0,0,0,121,40716,0
664,15396,19,0,0,0,0,0,15377,0
667,24089,29,0,0,0,0,0,24060,0
669,26510,78,7,0,0,0,0,26389,72
670,8797,99,0,0,0,0,0,8698,0
674,40826,395,155,0,0,0,40,40220,32
676,37862,145,0,1,30,0,89,37541,112
677,14569,971,0,0,27,0,0,13133,876
678,26642,137,93,0,0,0,24,26388,0
680,48035,175,28,0,10,1,4,47817,0
682,32820,220,1,0,24,0,76,32499,0
683,31627,128,20,4,0,0,16,31459,0
685,38849,346,0,0,0,0,31,38472,0
687,31785,30,0,20,0,0,25,31710,0
688,12360,97,0,0,10,0,0,12253,0
690,5587,62,0,0,0,0,0,5351,348
692,36218,351,19,0,15,0,81,35683,138
693,56327,1677,45,0,0,1,43,54561,0
694,88,0,0,0,0,0,0,88,0
698,37493,80,0,0,5,0,0,37408,0
703,27137,194,0,0,0,0,0,26943,0
704,7842,11,0,1,17,0,0,7745,136
705,23831,84,8,0,18,0,17,23704,0
707,11240,128,0,0,0,0,0,11112,0
714,18363,33,0,0,0,0,0,18330,0
715,3645,0,37,0,0,0,0,3608,0
716,29191,185,21,0,0,0,0,28965,40
717,17285,117,23,0,75,0,0,17070,0
718,26073,54,0,0,0,0,66,25953,0
719,29684,37,0,0,0,0,51,29596,0
720,21753,65,0,0,0,0,0,21688,0
723,17826,34,0,0,0,12,0,17780,0
725,82822,705,40,0,10,0,75,81927,130
727,56023,431,52,0,0,0,18,55522,0
728,40326,129,33,0,0,0,16,40148,0
729,52244,58,11,0,81,0,13,52081,0
730,32735,250,0,0,0,0,0,32485,0
731,13862,40,0,0,0,0,0,13822,0
735,12749,100,0,0,8,0,0,12619,44
736,48476,220,12,0,54,0,1,48189,0
738,31558,253,69,0,67,0,0,31134,70
739,37380,109,0,0,0,0,0,37271,0
740,1517,0,0,0,0,0,0,1517,0
741,5168,0,0,0,0,0,0,5168,0
745,52624,259,0,0,0,0,0,52345,40
751,22174,5,0,0,98,0,0,22071,0
754,38636,0,0,0,22,0,0,38605,18
757,22475,81,0,0,0,0,0,22394,0
765,8721,357,0,0,0,0,0,8336,56
766,23931,37,18,0,0,0,11,23865,0
767,35042,25,0,0,11,0,0,35006,0
769,39605,182,8,0,0,0,7,39408,0
771,37705,37,76,0,0,0,26,37566,0
772,20784,0,6,0,0,0,0,20778,0
773,18952,260,10,0,16,0,41,18608,34
775,1480,115,0,5,0,0,6,1354,0
777,40611,259,0,0,0,0,0,40352,0
778,46852,534,113,0,23,0,48,46134,0
780,11679,131,0,0,0,0,0,11548,0
782,18196,41,0,0,0,0,20,18135,0
783,34240,301,0,0,0,0,21,33904,28
784,41417,323,68,0,0,0,2,41024,0
786,249,0,0,0,0,0,0,249,0
791,49551,592,20,0,0,0,89,48756,188
794,29296,0,3,0,0,0,0,29293,0
795,45573,50,9,11,18,0,0,45485,0
901,6540,270,68,0,6,0,0,6188,16
906,91,0,0,0,0,0,0,91,0
907,16819,675,96,0,23,0,0,15963,124
909,5430,28,7,0,6,0,5,5384,0
911,7617,539,37,0,32,0,0,7009,0
912,5920,63,16,0,0,0,19,5822,0
913,8495,66,0,0,0,0,0,8429,0
915,27534,19,96,0,25,0,108,27286,0
917,18316,118,0,0,34,0,0,18139,50
918,16595,136,0,0,0,0,0,16459,0
920,16698,133,45,0,0,0,0,16520,0
921,35161,245,85,0,0,12,0,34819,0
923,24754,189,53,16,0,0,0,24496,0
924,51699,623,118,0,0,0,147,50811,0
925,6796,163,18,0,67,0,25,6523,0
926,99106,708,116,0,311,0,41,97912,36
927,13503,355,26,0,102,0,0,13020,0
934,25,11,14,0,0,0,0,0,0
936,749,15,0,0,0,0,0,734,0
949,76058,419,97,0,10,0,58,75467,14
950,0,0,0,0,0,0,0,0,0
951,0,0,0,0,0,0,0,0,0
952,8467,35,0,0,0,0,0,8432,0
953,72608,315,40,0,273,6,0,71974,0
956,68452,404,26,2,35,0,0,67946,78
957,40738,152,9,0,20,12,118,40427,0
959,47849,401,40,5,0,0,0,47403,0
960,2454,7,15,0,0,0,5,2415,24
961,31017,246,49,0,58,0,6,30639,38
